ref_id,source,reason,formulation_raw,unit_basis_raw,price_cell_raw
CEIL-0138,ceiling,unit_unmappable,Tramadol,20 ML Pack)(1 ML Pack,1.59
CEIL-0593,ceiling,unit_unmappable,LIDOCAINE,1 gm or 1 ml)( Pack,1.11
CEIL-0721,ceiling,unit_unmappable,PERMETHRIN,1 gm or 1 ml,1.03
CEIL-0833,ceiling,unit_unmappable,SURFACTANT,Per mg of Phospholipids in the pack,80.89
RETL-0225,retail_new_drug,price_unparseable,Pantop OX Gel 200ml (Anesthetic Antacid Gel),Gel,
RETL-0563,retail_new_drug,price_withdrawn,Metformin + Glimepiride + Pioglitazone Tablets,1 Tablet,
RETL-0564,retail_new_drug,price_withdrawn,Metformin + Glimepiride + Pioglitazone Tablets,1 Tablet,
RETL-0613,retail_new_drug,unit_missing,Olmesartan Medoxomil + Amlodipine + Tablet,,12.87
RETL-0899,retail_new_drug,unit_missing,"Diphtheria Toxoid + Tetanus Toxoid + Inactivated w-B. pertussis bulk + Hib (PRP- TT) (Hib PRP Conjugated with carrier protein Tetanus Toxoid) + Aluminium content (A13+) (as Aluminium Phosphate Gel) + Thiomersal 0.025mg,",,340.15
RETL-3251,retail_new_drug,price_unparseable,"Sodium Alginate, Sodium Bicarbonate & Calcium carbonate Oral Liquid",Pack of 100ml,
